# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+gb47db5547" 
Date_of_run______________________________________________________________ (date)_________________________ "03/09/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "09:03" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________            1 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           20 
Number_of_constraints_(total)____________________________________________ (n_equality_constraints+n_inequality_constraints)_           26 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________            1 
Objective_function_name__________________________________________________ (objf_name)____________________ "Plasma major radius (R₀)" 
TF_quench_hotspot_current_density_upper_limit__________physical_value____ (ineq_value_con035)____________ 2.09485955491664670e+07 
TF_quench_hotspot_current_density_upper_limit__________symbol____________ (ineq_symbol_con035)___________         '<=' 
TF_quench_hotspot_current_density_upper_limit__________units_____________ (ineq_units_con035)____________       'A/m²' 
TF_quench_hotspot_current_density_upper_limit__________physical_bound____ (ineq_bound_con035)____________ 2.09495392468765713e+07 
TF_coil_superconductor_temperature_margin_lower_limit__normalised_residue_ (ineq_con036)__________________ 4.61366929142670301e-04 
TF_coil_superconductor_temperature_margin_lower_limit__physical_value____ (ineq_value_con036)____________ 1.50069205039371401e+00 
TF_coil_superconductor_temperature_margin_lower_limit__symbol____________ (ineq_symbol_con036)___________         '>=' 
TF_coil_superconductor_temperature_margin_lower_limit__units_____________ (ineq_units_con036)____________          'K' 
TF_coil_superconductor_temperature_margin_lower_limit__physical_bound____ (ineq_bound_con036)____________ 1.50000000000000000e+00 
CS_superconductor_temperature_margin_lower_limit_normalised_residue______ (ineq_con060)__________________ 1.19240127154141007e-04 
CS_superconductor_temperature_margin_lower_limit_physical_value__________ (ineq_value_con060)____________ 1.50017886019073110e+00 
CS_superconductor_temperature_margin_lower_limit_symbol__________________ (ineq_symbol_con060)___________         '>=' 
