# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g0078bb360" 
Date_of_run______________________________________________________________ (date)_________________________ "03/02/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "15:17" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "EU-DEMO LAR 2023 baseline" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/low_aspect_ratio_DEMO.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________          -14 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           19 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           25 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________          -14 
Objective_function_name__________________________________________________ (objf_name)____________________ "pulse length          " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -4.11329095269397371e-01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 2.13789291807159447e-14 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.59960299367892556e-10 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           16 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.39569085954047445e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 9.99726811392763204e-01 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 2.19394240097072257e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 2.00000000000000000e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 1.00000000000000002e-02 
rmajor___________________________________________________________________ (itvar002)_____________________ 8.59999999998081854e+00 
rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 9.99999999997769562e-01 
rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 9.99999999968030351e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 8.59999999999999964e+00 
rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 8.00000000000000000e+00 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar003)_____________________ 1.09983243227385419e+01 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm003)_______________________ 9.99646841292951116e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar003)____________________ 4.13677539499209754e-02 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu003)____________________ 1.50000000000000000e+02 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl003)____________________ 5.00000000000000000e+00 
beta_total_vol_avg_______________________________________________________ (itvar004)_____________________ 3.71936022738855177e-02 
beta_total_vol_avg_(final_value/initial_value)___________________________ (xcm004)_______________________ 9.99920411531472264e-01 
beta_total_vol_avg_(range_normalised)____________________________________ (nitvar004)____________________ 3.62298321059915107e-02 
beta_total_vol_avg_(upper_bound)_________________________________________ (boundu004)____________________ 1.00000000000000000e+00 
beta_total_vol_avg_(lower_bound)_________________________________________ (boundl004)____________________ 1.00000000000000002e-03 
nd_plasma_electrons_vol_avg______________________________________________ (itvar005)_____________________ 6.88171989530354483e+19 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm005)_______________________ 9.99726811382664282e-01 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar005)____________________ 4.98134683194239244e-02 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu005)____________________ 1.00000000000000000e+21 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl005)____________________ 2.00000000000000000e+19 
dr_tf_inboard____________________________________________________________ (itvar006)_____________________ 9.57732204857746683e-01 
dr_tf_inboard_(final_value/initial_value)________________________________ (xcm006)_______________________ 9.57917328920111832e-01 
dr_tf_inboard_(range_normalised)_________________________________________ (nitvar006)____________________ 1.39943022310158871e-01 
dr_tf_inboard_(upper_bound)______________________________________________ (boundu006)____________________ 5.00000000000000000e+00 
dr_tf_inboard_(lower_bound)______________________________________________ (boundl006)____________________ 2.99999999999999989e-01 
dr_cs____________________________________________________________________ (itvar007)_____________________ 6.68221424566723399e-01 
dr_cs_(final_value/initial_value)________________________________________ (xcm007)_______________________ 1.03076465578099041e+00 
dr_cs_(range_normalised)_________________________________________________ (nitvar007)____________________ 5.73961034915882184e-02 
dr_cs_(upper_bound)______________________________________________________ (boundu007)____________________ 1.00000000000000000e+01 
dr_cs_(lower_bound)______________________________________________________ (boundl007)____________________ 1.00000000000000006e-01 
q95______________________________________________________________________ (itvar008)_____________________ 3.60000000002167120e+00 
q95_(final_value/initial_value)__________________________________________ (xcm008)_______________________ 1.00000000000601985e+00 
q95_(range_normalised)___________________________________________________ (nitvar008)____________________ 4.67057427216402743e-13 
q95_(upper_bound)________________________________________________________ (boundu008)____________________ 5.00000000000000000e+01 
q95_(lower_bound)________________________________________________________ (boundl008)____________________ 3.59999999999999964e+00 
dr_bore__________________________________________________________________ (itvar009)_____________________ 2.04970766421151174e+00 
dr_bore_(final_value/initial_value)______________________________________ (xcm009)_______________________ 1.01136945795960020e+00 
dr_bore_(range_normalised)_______________________________________________ (nitvar009)____________________ 1.96940168102172852e-01 
dr_bore_(upper_bound)____________________________________________________ (boundu009)____________________ 1.00000000000000000e+01 
dr_bore_(lower_bound)____________________________________________________ (boundl009)____________________ 1.00000000000000006e-01 
j_cs_flat_top_end________________________________________________________ (itvar010)_____________________ 1.58604632375274748e+07 
j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm010)_______________________ 9.70119760568691092e-01 
j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar010)____________________ 1.57762394770044778e-01 
j_cs_flat_top_end_(upper_bound)__________________________________________ (boundu010)____________________ 1.00000000000000015e+08 
j_cs_flat_top_end_(lower_bound)__________________________________________ (boundl010)____________________ 1.00000000000000015e+05 
f_j_cs_start_pulse_end_flat_top__________________________________________ (itvar011)_____________________ 8.74287480272946560e-01 
f_j_cs_start_pulse_end_flat_top_(final_value/initial_value)______________ (xcm011)_______________________ 1.02693769224514564e+00 
f_j_cs_start_pulse_end_flat_top_(range_normalised)_______________________ (nitvar011)____________________ 8.74161641914861454e-01 
f_j_cs_start_pulse_end_flat_top_(upper_bound)____________________________ (boundu011)____________________ 1.00000000000000000e+00 
f_j_cs_start_pulse_end_flat_top_(lower_bound)____________________________ (boundl011)____________________ 1.00000000000000002e-03 
f_c_plasma_non_inductive_________________________________________________ (itvar012)_____________________ 4.87920049540292000e-01 
f_c_plasma_non_inductive_(final_value/initial_value)_____________________ (xcm012)_______________________ 9.90342927745892387e-01 
f_c_plasma_non_inductive_(range_normalised)______________________________ (nitvar012)____________________ 4.87407456997289323e-01 
f_c_plasma_non_inductive_(upper_bound)___________________________________ (boundu012)____________________ 1.00000000000000000e+00 
f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl012)____________________ 1.00000000000000002e-03 
t_tf_superconductor_quench_______________________________________________ (itvar013)_____________________ 2.30153452750035861e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm013)_______________________ 9.92387809797059761e-01 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar013)____________________ 2.29382835585621420e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu013)____________________ 1.00000000000000014e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl013)____________________ 1.00000000000000019e-01 
dr_tf_nose_case__________________________________________________________ (itvar014)_____________________ 2.56923506172284488e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm014)_______________________ 9.91747667158668800e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar014)____________________ 2.17814217023457324e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu014)____________________ 1.00000000000000000e+00 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl014)____________________ 5.00000000000000028e-02 
dx_tf_turn_steel_________________________________________________________ (itvar015)_____________________ 8.00000000027886564e-03 
dx_tf_turn_steel_(final_value/initial_value)_____________________________ (xcm015)_______________________ 1.00000000003485812e+00 
dx_tf_turn_steel_(range_normalised)______________________________________ (nitvar015)____________________ 3.03114055594486008e-12 
dx_tf_turn_steel_(upper_bound)___________________________________________ (boundu015)____________________ 1.00000000000000006e-01 
dx_tf_turn_steel_(lower_bound)___________________________________________ (boundl015)____________________ 8.00000000000000017e-03 
f_a_tf_turn_cable_copper_________________________________________________ (itvar016)_____________________ 9.14984624599253227e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm016)_______________________ 1.01124800225831790e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar016)____________________ 9.43146874089212162e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu016)____________________ 9.39999999999999836e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl016)____________________ 5.00000000000000000e-01 
f_nd_alpha_electron______________________________________________________ (itvar017)_____________________ 6.14571300933777140e-02 
f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm017)_______________________ 9.99375250375456714e-01 
f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar017)____________________ 1.14571300933777070e-01 
f_nd_alpha_electron_(upper_bound)________________________________________ (boundu017)____________________ 1.49999999999999994e-01 
f_nd_alpha_electron_(lower_bound)________________________________________ (boundl017)____________________ 5.00000000000000028e-02 
f_a_cs_turn_steel________________________________________________________ (itvar018)_____________________ 7.67108146968095594e-01 
f_a_cs_turn_steel_(final_value/initial_value)____________________________ (xcm018)_______________________ 1.00965263631503199e+00 
f_a_cs_turn_steel_(range_normalised)_____________________________________ (nitvar018)____________________ 8.07279396172914221e-01 
f_a_cs_turn_steel_(upper_bound)__________________________________________ (boundu018)____________________ 9.49999999999999956e-01 
f_a_cs_turn_steel_(lower_bound)__________________________________________ (boundl018)____________________ 1.00000000000000002e-03 
f_nd_impurity_electrons(13)______________________________________________ (itvar019)_____________________ 3.98399660542911945e-04 
f_nd_impurity_electrons(13)_(final_value/initial_value)__________________ (xcm019)_______________________ 2.65599773695274655e+00 
f_nd_impurity_electrons(13)_(range_normalised)___________________________ (nitvar019)____________________ 3.98390058932970928e-02 
f_nd_impurity_electrons(13)_(upper_bound)________________________________ (boundu019)____________________ 1.00000000000000002e-02 
f_nd_impurity_electrons(13)_(lower_bound)________________________________ (boundl019)____________________ 1.00000000000000002e-08 
Beta_consistency__________________normalised_residue_____________________ (eq_con001)____________________ 1.39888101102769724e-14 
Beta_consistency__________________residual_______________________________ (res_eq_con001)________________ -5.20294239526550283e-16 
Beta_consistency__________________constraint_value_______________________ (val_eq_con001)________________ 3.71936022738860381e-02 
Beta_consistency__________________units__________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 4.88498130835068878e-15 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -6.46311556981425678e-16 
