# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g73e73cf66" 
Date_of_run______________________________________________________________ (date)_________________________ "22/01/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "11:47" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________           14 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           18 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________           -5 
Objective_function_name__________________________________________________ (objf_name)____________________ "fusion gain           " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ -1.65856237247282223e+01 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 2.42649567164577095e-10 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 5.11104582847369758e-10 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           18 OP 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar001)_____________________ 1.08715573965329924e+01 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm001)_______________________ 7.24770493102199542e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar001)____________________ 2.93577869826649629e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu001)____________________ 2.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl001)____________________ 5.00000000000000000e+00 
beta_total_vol_avg_______________________________________________________ (itvar002)_____________________ 1.12825640636333824e-01 
beta_total_vol_avg_(final_value/initial_value)___________________________ (xcm002)_______________________ 5.64128203181669119e-01 
beta_total_vol_avg_(range_normalised)____________________________________ (nitvar002)____________________ 1.03864283471044247e-01 
beta_total_vol_avg_(upper_bound)_________________________________________ (boundu002)____________________ 1.00000000000000000e+00 
