# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g808481ec7" 
Date_of_run______________________________________________________________ (date)_________________________ "24/07/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "14:45" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "Generic large tokamak" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/large_tokamak_nof.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            1 
# Numerics #
# PROCESS found a feasible solution #
dr_bore_(final_value/initial_value)______________________________________ (xcm009)_______________________ 1.01986339647764801e+00 
dr_bore_(range_normalised)_______________________________________________ (nitvar009)____________________ 1.95931999288413733e-01 
dr_bore_(upper_bound)____________________________________________________ (boundu009)____________________ 1.00000000000000000e+01 
dr_bore_(lower_bound)____________________________________________________ (boundl009)____________________ 1.00000000000000006e-01 
j_cs_flat_top_end________________________________________________________ (itvar010)_____________________ 1.74380887324922569e+07 
j_cs_flat_top_end_(final_value/initial_value)____________________________ (xcm010)_______________________ 1.16253924883281723e+00 
j_cs_flat_top_end_(range_normalised)_____________________________________ (nitvar010)____________________ 1.73554441766689271e-01 
j_cs_flat_top_end_(upper_bound)__________________________________________ (boundu010)____________________ 1.00000000000000000e+08 
j_cs_flat_top_end_(lower_bound)__________________________________________ (boundl010)____________________ 1.00000000000000000e+05 
f_c_plasma_non_inductive_________________________________________________ (itvar011)_____________________ 4.42325486986036631e-01 
f_c_plasma_non_inductive_(final_value/initial_value)_____________________ (xcm011)_______________________ 1.10581371746509149e+00 
f_c_plasma_non_inductive_(range_normalised)______________________________ (nitvar011)____________________ 4.41767254240276908e-01 
f_c_plasma_non_inductive_(upper_bound)___________________________________ (boundu011)____________________ 1.00000000000000000e+00 
f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl011)____________________ 1.00000000000000002e-03 
t_tf_superconductor_quench_______________________________________________ (itvar012)_____________________ 1.91765046782489250e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm012)_______________________ 7.67060187129957050e-01 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar012)____________________ 1.90956002785274526e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu012)____________________ 1.00000000000000000e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl012)____________________ 1.00000000000000006e-01 
dr_tf_nose_case__________________________________________________________ (itvar013)_____________________ 2.01612001655358530e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm013)_______________________ 4.03224003310717061e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar013)____________________ 1.59591580689851104e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu013)____________________ 1.00000000000000000e+00 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl013)____________________ 5.00000000000000028e-02 
dx_tf_turn_steel_________________________________________________________ (itvar014)_____________________ 8.08510790166983365e-03 
dx_tf_turn_steel_(final_value/initial_value)_____________________________ (xcm014)_______________________ 1.01063848770872911e+00 
dx_tf_turn_steel_(range_normalised)______________________________________ (nitvar014)____________________ 9.25085887715574413e-04 
dx_tf_turn_steel_(upper_bound)___________________________________________ (boundu014)____________________ 1.00000000000000006e-01 
dx_tf_turn_steel_(lower_bound)___________________________________________ (boundl014)____________________ 8.00000000000000017e-03 
f_a_tf_turn_cable_copper_________________________________________________ (itvar015)_____________________ 8.99787950084974697e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm015)_______________________ 1.12473493760621834e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar015)____________________ 9.08608977465851786e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu015)____________________ 9.39999999999999947e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl015)____________________ 5.00000000000000000e-01 
c_tf_turn________________________________________________________________ (itvar016)_____________________ 8.25897537072470004e+04 
c_tf_turn_(final_value/initial_value)____________________________________ (xcm016)_______________________ 1.27061159549610769e+00 
c_tf_turn_(range_normalised)_____________________________________________ (nitvar016)____________________ 7.03590148289880091e-01 
c_tf_turn_(upper_bound)__________________________________________________ (boundu016)____________________ 9.00000000000000000e+04 
c_tf_turn_(lower_bound)__________________________________________________ (boundl016)____________________ 6.50000000000000000e+04 
f_nd_alpha_thermal_electron______________________________________________ (itvar017)_____________________ 8.56569392602184732e-02 
f_nd_alpha_thermal_electron_(final_value/initial_value)__________________ (xcm017)_______________________ 8.56569392602184676e-01 
f_nd_alpha_thermal_electron_(range_normalised)___________________________ (nitvar017)____________________ 7.13138785204369352e-01 
f_nd_alpha_thermal_electron_(upper_bound)________________________________ (boundu017)____________________ 1.00000000000000006e-01 
f_nd_alpha_thermal_electron_(lower_bound)________________________________ (boundl017)____________________ 5.00000000000000028e-02 
f_a_cs_turn_steel________________________________________________________ (itvar018)_____________________ 6.92787762489169179e-01 
f_a_cs_turn_steel_(final_value/initial_value)____________________________ (xcm018)_______________________ 8.65984703111461362e-01 
f_a_cs_turn_steel_(range_normalised)_____________________________________ (nitvar018)____________________ 7.28964976279419474e-01 
