# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g49a859890" 
Date_of_run______________________________________________________________ (date)_________________________ "25/02/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "10:05" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________      "SQuID" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/stellarator_helias.IN.DAT" 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            6 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (nvar)_________________________            8 
Number_of_constraints_(total)____________________________________________ (neqns+nineqns)________________           14 
Optimisation_switch______________________________________________________ (ioptimz)______________________            1 
Figure_of_merit_switch___________________________________________________ (minmax)_______________________            6 
Objective_function_name__________________________________________________ (objf_name)____________________ "cost of electricity   " 
Normalised_objective_function____________________________________________ (norm_objf)____________________ 1.16604591644766531e+00 OP 
Square_root_of_the_sum_of_squares_of_the_constraint_residuals____________ (sqsumsq)______________________ 2.09381256854107002e-09 OP 
VMCON_convergence_parameter______________________________________________ (convergence_parameter)________ 2.79631558154206487e-07 OP 
Number_of_optimising_solver_iterations___________________________________ (nviter)_______________________           60 OP 
b_plasma_toroidal_on_axis________________________________________________ (itvar001)_____________________ 4.70219242054427689e+00 
b_plasma_toroidal_on_axis_(final_value/initial_value)____________________ (xcm001)_______________________ 8.54944076462595737e-01 
b_plasma_toroidal_on_axis_(range_normalised)_____________________________ (nitvar001)____________________ 1.17032070090712731e-01 
b_plasma_toroidal_on_axis_(upper_bound)__________________________________ (boundu001)____________________ 1.00000000000000000e+01 
b_plasma_toroidal_on_axis_(lower_bound)__________________________________ (boundl001)____________________ 4.00000000000000000e+00 
rmajor___________________________________________________________________ (itvar002)_____________________ 2.66949716402591797e+01 
rmajor_(final_value/initial_value)_______________________________________ (xcm002)_______________________ 1.33474858201295898e+00 
rmajor_(range_normalised)________________________________________________ (nitvar002)____________________ 8.34748582012958984e-01 
rmajor_(upper_bound)_____________________________________________________ (boundu002)____________________ 3.00000000000000000e+01 
rmajor_(lower_bound)_____________________________________________________ (boundl002)____________________ 1.00000000000000000e+01 
temp_plasma_electron_vol_avg_kev_________________________________________ (itvar003)_____________________ 5.67324167612224173e+00 
temp_plasma_electron_vol_avg_kev_(final_value/initial_value)_____________ (xcm003)_______________________ 8.10463096588891707e-01 
temp_plasma_electron_vol_avg_kev_(range_normalised)______________________ (nitvar003)____________________ 2.22770139676853524e-01 
temp_plasma_electron_vol_avg_kev_(upper_bound)___________________________ (boundu003)____________________ 1.50000000000000000e+01 
temp_plasma_electron_vol_avg_kev_(lower_bound)___________________________ (boundl003)____________________ 3.00000000000000000e+00 
nd_plasma_electrons_vol_avg______________________________________________ (itvar004)_____________________ 1.74450018374178669e+20 
nd_plasma_electrons_vol_avg_(final_value/initial_value)__________________ (xcm004)_______________________ 8.72250091870893307e-01 
nd_plasma_electrons_vol_avg_(range_normalised)___________________________ (nitvar004)____________________ 5.35000068052513544e-01 
nd_plasma_electrons_vol_avg_(upper_bound)________________________________ (boundu004)____________________ 3.00000000000000000e+20 
nd_plasma_electrons_vol_avg_(lower_bound)________________________________ (boundl004)____________________ 3.00000000000000000e+19 
hfact____________________________________________________________________ (itvar005)_____________________ 1.05580328440640669e+00 
hfact_(final_value/initial_value)________________________________________ (xcm005)_______________________ 1.05580328440640669e+00 
hfact_(range_normalised)_________________________________________________ (nitvar005)____________________ 8.68912076733097116e-01 
hfact_(upper_bound)______________________________________________________ (boundu005)____________________ 1.19999999999999996e+00 
hfact_(lower_bound)______________________________________________________ (boundl005)____________________ 1.00000000000000006e-01 
t_tf_superconductor_quench_______________________________________________ (itvar006)_____________________ 3.54183453906173185e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm006)_______________________ 3.54183453906173185e+00 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar006)____________________ 7.02415212053414617e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu006)____________________ 5.00000000000000000e+01 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl006)____________________ 1.00000000000000000e+00 
f_a_tf_turn_cable_copper_________________________________________________ (itvar007)_____________________ 7.38607046774968357e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm007)_______________________ 1.05515292396424054e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar007)____________________ 7.31011744624947224e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu007)____________________ 9.00000000000000022e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl007)____________________ 2.99999999999999989e-01 
f_nd_alpha_electron______________________________________________________ (itvar008)_____________________ 3.32297472737022870e-02 
f_nd_alpha_electron_(final_value/initial_value)__________________________ (xcm008)_______________________ 3.32297472737022870e-01 
f_nd_alpha_electron_(range_normalised)___________________________________ (nitvar008)____________________ 8.28450794541192442e-02 
f_nd_alpha_electron_(upper_bound)________________________________________ (boundu008)____________________ 4.00000000000000022e-01 
f_nd_alpha_electron_(lower_bound)________________________________________ (boundl008)____________________ 1.00000000000000005e-04 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ 1.63584257251159215e-10 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ 3.76668696233650735e-11 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 2.30259860511241893e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m3' 
Net_electric_power_lower_limit____normalised_residue_____________________ (eq_con016)____________________ -2.08741257612388154e-09 
Net_electric_power_lower_limit____residual_______________________________ (res_eq_con016)________________ 2.08741255391942104e-06 
Net_electric_power_lower_limit____constraint_value_______________________ (val_eq_con016)________________ 9.99999997912587446e+02 
Net_electric_power_lower_limit____units__________________________________ (eq_units_con016)______________         'MW' 
Beta_upper_limit__________________normalised_residue_____________________ (ineq_con024)__________________ 5.70128746102405159e-07 
Beta_upper_limit__________________physical_value_________________________ (ineq_value_con024)____________ 3.99999771948501559e-02 
Beta_upper_limit__________________symbol_________________________________ (ineq_symbol_con024)___________         '<=' 
Beta_upper_limit__________________units__________________________________ (ineq_units_con024)____________           '' 
Beta_upper_limit__________________physical_bound_________________________ (ineq_bound_con024)____________ 4.00000000000000008e-02 
Neutron_wall_load_upper_limit_____normalised_residue_____________________ (ineq_con008)__________________ 4.86805360431237788e-01 
Neutron_wall_load_upper_limit_____physical_value_________________________ (ineq_value_con008)____________ 7.69791959353143374e-01 
Neutron_wall_load_upper_limit_____symbol_________________________________ (ineq_symbol_con008)___________         '<=' 
Neutron_wall_load_upper_limit_____units__________________________________ (ineq_units_con008)____________      'MW/m2' 
Neutron_wall_load_upper_limit_____physical_bound_________________________ (ineq_bound_con008)____________ 1.50000000000000000e+00 
Radiation_fraction_upper_limit____normalised_residue_____________________ (ineq_con017)__________________ 5.11109161767058673e-01 
Radiation_fraction_upper_limit____physical_value_________________________ (ineq_value_con017)____________ 4.88890838232941383e-01 
Radiation_fraction_upper_limit____symbol_________________________________ (ineq_symbol_con017)___________         '<=' 
Radiation_fraction_upper_limit____units__________________________________ (ineq_units_con017)____________      'MW/m3' 
Radiation_fraction_upper_limit____physical_bound_________________________ (ineq_bound_con017)____________ 1.00000000000000000e+00 
