# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g9b6c78a1c" 
Additional_buildings_cost_(M$)___________________________________________ (c2171)________________________ 1.51199999999999992e+01 
Control_room_buildings_cost_(M$)_________________________________________ (c2172)________________________ 1.76400000000000006e+01 
Shop_and_warehouses_cost_(M$)____________________________________________ (c2173)________________________ 9.65999999999999837e+00 
Cryogenic_building_cost_(M$)_____________________________________________ (c2174)________________________ 9.03659327831028136e+00 
Total_account_21_cost_(M$)_______________________________________________ (c21)__________________________ 1.00899942237961977e+03 
# Reactor Systems #
First_wall_cost_(M$)_____________________________________________________ (c2211)________________________ 1.87605845901631454e+02 
Blanket_beryllium_cost_(M$)______________________________________________ (c22121)_______________________ 2.73201404378089137e+02 
Blanket_breeder_material_cost_(M$)_______________________________________ (c22122)_______________________ 1.02020005120530300e+02 
Blanket_stainless_steel_cost_(M$)________________________________________ (c22123)_______________________ 1.10286018328590330e+02 
Blanket_vanadium_cost_(M$)_______________________________________________ (c22124)_______________________ 0.00000000000000000e+00 
Blanket_total_cost_(M$)__________________________________________________ (c2212)________________________ 4.85507427827209767e+02 
Bulk_shield_cost_(M$)____________________________________________________ (c22131)_______________________ 9.52856485880847401e+01 
Penetration_shielding_cost_(M$)__________________________________________ (c22132)_______________________ 9.52856485880847401e+01 
Total_shield_cost_(M$)___________________________________________________ (c2213)________________________ 1.90571297176169480e+02 
Total_support_structure_cost_(M$)________________________________________ (c2214)________________________ 0.00000000000000000e+00 
Divertor_cost_(M$)_______________________________________________________ (c2215)________________________ 2.10804191407238477e+01 
Total_account_221_cost_(M$)______________________________________________ (c221)_________________________ 8.84764990045734635e+02 
# Magnets #
TF_coil_conductor_cost_(M$)______________________________________________ (c22211)_______________________ 3.18204502876167055e+02 
TF_coil_winding_cost_(M$)________________________________________________ (c22212)_______________________ 5.82614869399430475e+01 
TF_coil_case_cost_(M$)___________________________________________________ (c22213)_______________________ 8.35074227392552615e+01 
TF_intercoil_structure_cost_(M$)_________________________________________ (c22214)_______________________ 1.47437890787164861e+02 
TF_coil_gravity_support_structure_(M$)___________________________________ (c22215)_______________________ 2.94875781574329743e+01 
TF_magnet_assemblies_cost_(M$)___________________________________________ (c2221)________________________ 6.36898881499963181e+02 
PF_coil_conductor_cost_(M$)______________________________________________ (c22221)_______________________ 0.00000000000000000e+00 
PF_coil_winding_cost_(M$)________________________________________________ (c22222)_______________________ 0.00000000000000000e+00 
PF_coil_case_cost_(M$)___________________________________________________ (c22223)_______________________ 0.00000000000000000e+00 
PF_coil_support_structure_cost_(M$)______________________________________ (c22224)_______________________ 0.00000000000000000e+00 
PF_magnet_assemblies_cost_(M$)___________________________________________ (c2222)________________________ 0.00000000000000000e+00 
Vacuum_vessel_assembly_cost_(M$)_________________________________________ (c2223)________________________ 4.61722639637803582e+02 
Total_account_222_cost_(M$)______________________________________________ (c222)_________________________ 1.09862152113776665e+03 
# Power Injection #
ECH_system_cost_(M$)_____________________________________________________ (c2231)________________________ 0.00000000000000000e+00 
Lower_hybrid_system_cost_(M$)____________________________________________ (c2232)________________________ 0.00000000000000000e+00 
Neutral_beam_system_cost_(M$)____________________________________________ (c2233)________________________ 0.00000000000000000e+00 
Total_account_223_cost_(M$)______________________________________________ (c223)_________________________ 0.00000000000000000e+00 
# Vacuum Systems #
High_vacuum_pumps_cost_(M$)______________________________________________ (c2241)________________________ 3.90000000000000000e+01 
Backing_pumps_cost_(M$)__________________________________________________ (c2242)________________________ 1.46249999999999982e+01 
Vacuum_duct_cost_(M$)____________________________________________________ (c2243)________________________ 4.46474669194211682e+00 
Valves_cost_(M$)_________________________________________________________ (c2244)________________________ 1.05612082563077010e+01 
Duct_shielding_cost_(M$)_________________________________________________ (c2245)________________________ 0.00000000000000000e+00 
Instrumentation_cost_(M$)________________________________________________ (c2246)________________________ 1.30000000000000004e+00 
Total_account_224_cost_(M$)______________________________________________ (c224)_________________________ 6.99509549482498159e+01 
# Power Conditioning #
TF_coil_power_supplies_cost_(M$)_________________________________________ (c22511)_______________________ 8.78119581334533983e+00 
TF_coil_breakers_cost_(M$)_______________________________________________ (c22512)_______________________ 7.82130456930858600e+01 
TF_coil_dump_resistors_cost_(M$)_________________________________________ (c22513)_______________________ 2.33229836309641811e+01 
