 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "3.1.0   R"
 Date_of_run_____________________________________________________________ (date)________________________     "09/12/2024"
 Time_of_run_____________________________________________________________ (time)________________________     "11:40"
 User____________________________________________________________________ (username)____________________     "runner"  
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "IFE_001                                                                                            
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     ""                                                                                                  
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "main"                                                                                              
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "3410 more namespace standards for physics and engineering variables ([hash]3416)"                  
 Input_filename__________________________________________________________ (fileprefix)__________________     "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/IFE.IN.DAT                                                                                                                                                                                                                                                                                                                                       "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Target_factory_(MW)_____________________________________________________ (tfacmw)______________________      1.6629439268404365E+00    
 Tritium_processing_plant_(MW)___________________________________________ (trithtmw)____________________      1.5000000000000000E+01    
 Vacuum_pump_motors_(MW)_________________________________________________ (vachtmw)_____________________      5.0000000000000000E-01    
 Cryogenic_comp_motors_(MW)______________________________________________ (crypmw)______________________      1.0000000000000000E+01    
 Heat_transport_system_pump_motors_(MW)__________________________________ (htpmw_ife*reprat/6)__________      7.6823941532959878E+00    
 Total_pulsed_power_(MW)_________________________________________________ (pacpmw)______________________      1.4107912604412365E+02    
 Total_base_power_reqd_at_all_times_(MW)_________________________________ (fcsht)_______________________      2.4322206046559071E+01    
 Total_low_voltage_power_(MW)____________________________________________ (tlvpmw)______________________      5.4167544126695496E+01    
 # Power / Heat Transport #
 Fusion_power_escaping_via_holes_(MW)____________________________________ (pnucloss)____________________      0.0000000000000000E+00    
 Power_multiplication_factor_____________________________________________ (emult)_______________________      1.2600000000000000E+00    
 Driver_wall_plug_power_(MW)_____________________________________________ (pinjwp)______________________      8.1901581917428175E+01    
 First_wall_nuclear_heating_(MW)_________________________________________ (pfwdiv)______________________      6.0853371137169222E+02    
 Blanket_nuclear_heating_(MW)____________________________________________ (pnucblkt)____________________      1.9270234193436922E+03    
 Primary_heat_(MW)_______________________________________________________ (pthermmw)____________________      2.5355571307153846E+03    
 Secondary_heat_(MW)_____________________________________________________ (psechtmw)____________________      1.2029673189082770E+02    
 Heat_removal_from_driver_power_(MW)_____________________________________ (pinjht)______________________      5.8801581917428180E+01    
 Heat_removal_from_cryogenic_plant_(MW)__________________________________ (crypmw)______________________      1.0000000000000000E+01    
 Heat_removal_from_vacuum_pumps_(MW)_____________________________________ (vachtmw)_____________________      5.0000000000000000E-01    
 Heat_removal_from_target_factory_(MW)___________________________________ (tfacmw)______________________      1.6629439268404365E+00    
 Heat_removal_from_delivery_system_(MW)__________________________________ (tdspmw)______________________      1.0000000000000000E-02    
 Heat_removal_from_tritium_plant_(MW)____________________________________ (trithtmw)____________________      1.5000000000000000E+01    
 Heat_removal_from_facilities_(MW)_______________________________________ (fachtmw)_____________________      2.4322206046559071E+01    
 Number_of_primary_heat_exchangers_______________________________________ (nphx)________________________              3    
 Gross_electric_power_(MW)_______________________________________________ (pgrossmw)____________________      1.1410007088219231E+03    
 Net_electric_power_(MW)_________________________________________________ (pnetelmw)____________________      9.9992158277779947E+02    
 Balance_of_plant_aux._power_fraction____________________________________ (fgrosbop)____________________      0.0000000000000000E+00    
 # Plant Availability #
 Allowable_blanket_neutron_fluence_(MW-yr/m2)____________________________ (abktflnc)____________________      2.0000000000000000E+01    
 Allowable_divertor_heat_fluence_(MW-yr/m2)______________________________ (adivflnc)____________________      7.0000000000000000E+00    
 First_wall_/_blanket_lifetime_(years)___________________________________ (bktlife)_____________________      2.9964597374019220E+00 OP 
 Divertor_lifetime_(years)_______________________________________________ (divlife)_____________________      0.0000000000000000E+00 OP 
 Heating/CD_system_lifetime_(years)______________________________________ (cdrlife)_____________________      2.9964597374019220E+00 OP 
 Total_plant_lifetime_(years)____________________________________________ (tlife)_______________________      3.0000000000000000E+01    
 Total_plant_availability_fraction_______________________________________ (cfactr)______________________      7.5000000000000011E-01    
 Number_of_fusion_cycles_to_reach_allowable_fw/blanket_DPA_______________ (bktcycles)___________________                    Infinity    
 # Power Reactor Costs (1990 US$) #
 First_wall_/_blanket_life_(years)_______________________________________ (bktlife_cal)_________________      2.2473448030514418E+00    
 Cost_of_electricity_(m$/kWh)____________________________________________ (coe)_________________________      9.7930564389586806E+01    
 # Replaceable Components Direct Capital Cost #
 First_wall_direct_capital_cost_(M$)_____________________________________ (fwallcst)____________________      1.1082341509903110E+01    
 Blanket_direct_capital_cost_(M$)________________________________________ (blkcst)______________________      7.8901112612966372E+01    
 IFE_driver_system_direct_cap_cost_(M$)__________________________________ ______________________________      0.0000000000000000E+00    
 Fraction_of_driver_cost_-->_fuel_cost___________________________________ (fcdfuel)_____________________      0.0000000000000000E+00    
 # Detailed Costings (1990 US$) #
 Acc.22_multiplier_for_Nth_of_a_kind_____________________________________ (fkind)_______________________      1.0000000000000000E+00    
 Level_of_Safety_Assurance_______________________________________________ (lsa)_________________________              4    
 # Structures and Site Facilities #
 Site_improvements,_facilities,_land_(M$)________________________________ (c211)________________________      3.5200000000000003E+01    
 Reactor_building_cost_(M$)______________________________________________ (c212)________________________      8.3774591999999988E+00    
 Turbine_building_cost_(M$)______________________________________________ (c213)________________________      3.8000000000000000E+01    
 Reactor_maintenance_building_cost_(M$)__________________________________ (c2141)_______________________      7.6442807349999995E+01    
 Warm_shop_cost_(M$)_____________________________________________________ (c2142)_______________________      5.0646867513999993E+01    
 Tritium_building_cost_(M$)______________________________________________ (c215)________________________      1.4799999999999999E+01    
 Electrical_equipment_building_cost_(M$)_________________________________ (c216)________________________      1.5199999999999999E+01    
 Additional_buildings_cost_(M$)__________________________________________ (c2171)_______________________      1.8000000000000000E+01    
 Control_room_buildings_cost_(M$)________________________________________ (c2172)_______________________      2.1000000000000000E+01    
 Shop_and_warehouses_cost_(M$)___________________________________________ (c2173)_______________________      1.1499999999999998E+01    
 Cryogenic_building_cost_(M$)____________________________________________ (c2174)_______________________      0.0000000000000000E+00    
 Total_account_21_cost_(M$)______________________________________________ (c21)_________________________      2.8916713406399998E+02    
 # Reactor Systems #
 First_wall_cost_(M$)____________________________________________________ (c2211)_______________________      0.0000000000000000E+00    
 Blanket_beryllium_cost_(M$)_____________________________________________ (c22121)______________________      0.0000000000000000E+00    
 Blanket_lithium_oxide_cost_(M$)_________________________________________ (c22122)______________________      0.0000000000000000E+00    
 Blanket_stainless_steel_cost_(M$)_______________________________________ (c22123)______________________      0.0000000000000000E+00    
 Blanket_vanadium_cost_(M$)______________________________________________ (c22124)______________________      0.0000000000000000E+00    
 Blanket_carbon_cloth_cost_(M$)__________________________________________ (c22125)______________________      0.0000000000000000E+00    
 Blanket_concrete_cost_(M$)______________________________________________ (c22126)______________________      0.0000000000000000E+00    
 Blanket_FLiBe_cost_(M$)_________________________________________________ (c22127)______________________      7.8901112612966372E+01    
 Blanket_lithium_cost_(M$)_______________________________________________ (c22128)______________________      0.0000000000000000E+00    
 Blanket_total_cost_(M$)_________________________________________________ (c2212)_______________________      0.0000000000000000E+00    
 Bulk_shield_cost_(M$)___________________________________________________ (c22131)______________________      5.3365547968535043E+02    
 Penetration_shielding_cost_(M$)_________________________________________ (c22132)______________________      0.0000000000000000E+00    
 Total_shield_cost_(M$)__________________________________________________ (c2213)_______________________      5.3365547968535043E+02    
 Total_support_structure_cost_(M$)_______________________________________ (c2214)_______________________      0.0000000000000000E+00    
 Divertor_cost_(M$)______________________________________________________ (c2215)_______________________      0.0000000000000000E+00    
 Total_account_221_cost_(M$)_____________________________________________ (c221)________________________      5.3365547968535043E+02    
 # Power Injection #
 IFE_driver_system_cost_(M$)_____________________________________________ (c2231)_______________________      5.4508636820535821E+02    
 Total_account_223_cost_(M$)_____________________________________________ (c223)________________________      5.4508636820535821E+02    
 # Vacuum Systems #
 High_vacuum_pumps_cost_(M$)_____________________________________________ (c2241)_______________________      1.2479999999999999E+01    
 Backing_pumps_cost_(M$)_________________________________________________ (c2242)_______________________      4.6799999999999997E+00    
 Vacuum_duct_cost_(M$)___________________________________________________ (c2243)_______________________      1.3519999999999999E+00    
 Valves_cost_(M$)________________________________________________________ (c2244)_______________________      2.9856444401675502E+00    
 Duct_shielding_cost_(M$)________________________________________________ (c2245)_______________________      0.0000000000000000E+00    
 Instrumentation_cost_(M$)_______________________________________________ (c2246)_______________________      1.3000000000000000E+00    
 Total_account_224_cost_(M$)_____________________________________________ (c224)________________________      2.2797644440167549E+01    
 # Heat Transport System #
 Pumps_and_piping_system_cost_(M$)_______________________________________ (cpp)_________________________      6.9880456984920485E+01    
 Primary_heat_exchanger_cost_(M$)________________________________________ (chx)_________________________      7.9813988807243774E+01    
 Total,_reactor_cooling_system_cost_(M$)_________________________________ (c2261)_______________________      1.4969444579216426E+02    
 Pumps,_piping_cost_(M$)_________________________________________________ (cppa)________________________      1.9853877799666790E+01    
 Total,_auxiliary_cooling_system_cost_(M$)_______________________________ (c2262)_______________________      1.9853877799666790E+01    
 Total,_cryogenic_system_cost_(M$)_______________________________________ (c2263)_______________________      7.1479199654644461E+01    
 Total_account_226_cost_(M$)_____________________________________________ (c226)________________________      2.4102752324647548E+02    
 # Fuel Handling System #
 Fuelling_system_cost_(M$)_______________________________________________ (c2271)_______________________      5.0000000000000000E+00    
 Fuel_processing_and_purification_cost_(M$)______________________________ (c2272)_______________________      1.5970465723088432E+02    
 Atmospheric_recovery_systems_cost_(M$)__________________________________ (c2273)_______________________      6.2126396206621175E+00    
 Nuclear_building_ventilation_cost_(M$)__________________________________ (c2274)_______________________      1.1573540820937751E+01    
 Total_account_227_cost_(M$)_____________________________________________ (c227)________________________      1.8249083767248419E+02    
 # Instrumentation and Control #
 Instrumentation_and_control_cost_(M$)___________________________________ (c228)________________________      1.5000000000000000E+02    
 # Maintenance Equipment #
 Maintenance_equipment_cost_(M$)_________________________________________ (c229)________________________      3.0000000000000000E+02    
 # Total Account 22 Cost #
 Total_account_22_cost_(M$)______________________________________________ (c22)_________________________      1.9750578532498357E+03    
 # Turbine Plant Equipment #
 Turbine_plant_equipment_cost_(M$)_______________________________________ (c23)_________________________      2.2057419890085544E+02    
 # Electric Plant Equipment #
 Switchyard_equipment_cost_(M$)__________________________________________ (c241)________________________      1.8399999999999999E+01    
 Transformers_cost_(M$)__________________________________________________ (c242)________________________      2.4824643125436046E+00    
 Low_voltage_equipment_cost_(M$)_________________________________________ (c243)________________________      1.0833508825339098E+00    
 Diesel_backup_equipment_cost_(M$)_______________________________________ (c244)________________________      6.7999999999999998E+00    
 Auxiliary_facilities_cost_(M$)__________________________________________ (c245)________________________      1.5000000000000000E+00    
 Total_account_24_cost_(M$)______________________________________________ (c24)_________________________      3.0265815195077515E+01    
 # Miscellaneous Plant Equipment #
 Miscellaneous_plant_equipment_cost_(M$)_________________________________ (c25)_________________________      2.5000000000000000E+01    
 # Heat Rejection System #
 Heat_rejection_system_cost_(M$)_________________________________________ (c26)_________________________      5.3296308471493582E+01    
 # Plant Direct Cost #
 Plant_direct_cost_(M$)__________________________________________________ (cdirt)_______________________      2.5933613098812621E+03    
 # Reactor Core Cost #
 Reactor_core_cost_(M$)__________________________________________________ (crctcore)____________________      1.0787418478907086E+03    
 # Indirect Cost #
 Indirect_cost_(M$)______________________________________________________ (c9)__________________________      8.6488599684540077E+02    
 # Total Contingency #
 Total_contingency_(M$)__________________________________________________ (ccont)_______________________      6.7435822481169930E+02    
 # Constructed Cost #
 Constructed_cost_(M$)___________________________________________________ (concost)_____________________      4.1326055315383619E+03    
 # Interest during Construction #
 Interest_during_construction_(M$)_______________________________________ (moneyint)____________________      6.8187991270382986E+02    
 # Total Capital Investment #
 Total_capital_investment_(M$)___________________________________________ (capcost)_____________________      4.8144854442421920E+03    
 # Errors and Warnings #
 # Errors and Warnings #
 PROCESS_error_status_flag_______________________________________________ (error_status)________________              0    
 Final_error/warning_identifier__________________________________________ (error_id)____________________              0    
 # End of PROCESS Output #
 # End of PROCESS Output #
 # Copy of PROCESS Input Follows #
************************************************************************************************************************
*****                                                               *****
*****               OSIRIS Inertial Fusion Plant                    *****
*****               Stuart Muldrew (01/08/2019)                     *****
*****               Based on run by Peter Knight                    *****
*****                                                               *****
*****                                                               *****
*************************************************************************

*---------------Constraint Equations---------------*

icc = 16               *Net electric power lower limit

*---------------Iteration Variables----------------*
ixc = 81               *edrive
edrive = 5.0D6         *IFE driver energy (J)

*-----------------Global Variables-----------------*
runtitle = IFE_001

*---------------Constraint Variables---------------*
pnetelin  = 1000.0     *Required net electric power (MW)

*---------------Numerics Variables-----------------*
IOPTIMZ   = 1         *Code operation switch (1: for optimisation VMCON only)
minmax    = 18        *Null FoM, find feasible


*------------------IFE Variables-------------------*
ife         = 1        *Switch for Inertial Fusion Energy model
ifetyp      = 1        *Switch for type of IFE device build (1: OSIRIS-like build)
ifedrv      = 2        *Switch for type of IFE driver (2: Heavy ion beam driver based on OSIRIS)
bldr        = 0.55     *Radial thickness of IFE blanket (m)
bldzl       = 0.65     *Vertical thickness of IFE blanket below chamber (m)
bldzu       = 0.55     *Vertical thickness of IFE blanket above chamber (m)

blmatf(1)   = 0.0500   *Blanket material fraction (radial void)
blmatf(2)   = 0.0000   *Blanket material fraction (upper void)
blmatf(3)   = 0.0000   *Blanket material fraction (lower void)
blmatf(4)   = 0.0000   *Blanket material fraction (radial steel)
blmatf(5)   = 0.0000   *Blanket material fraction (upper steel)
blmatf(6)   = 0.0000   *Blanket material fraction (lower steel)
blmatf(7)   = 0.0086   *Blanket material fraction (radial carbon)
blmatf(8)   = 0.0091   *Blanket material fraction (upper carbon)
blmatf(9)   = 0.0000   *Blanket material fraction (lower carbon)
blmatf(10)  = 0.9414   *Blanket material fraction (radial FLiBe)
blmatf(11)  = 0.9909   *Blanket material fraction (upper FLiBe)
blmatf(12)  = 1.0000   *Blanket material fraction (lower FLiBe)
blmatf(13)  = 0.0000   *Blanket material fraction (radial Li20)
blmatf(14)  = 0.0000   *Blanket material fraction (upper Li20)
blmatf(15)  = 0.0000   *Blanket material fraction (lower Li20)
blmatf(16)  = 0.0000   *Blanket material fraction (radial concrete)
blmatf(17)  = 0.0000   *Blanket material fraction (upper concrete)
blmatf(18)  = 0.0000   *Blanket material fraction (lower concrete)
blmatf(19)  = 0.0000   *Blanket material fraction (radial helium)
blmatf(20)  = 0.0000   *Blanket material fraction (upper helium)
blmatf(21)  = 0.0000   *Blanket material fraction (lower helium)
blmatf(22)  = 0.0000   *Blanket material fraction (radial xenon)
blmatf(23)  = 0.0000   *Blanket material fraction (upper xenon)
blmatf(24)  = 0.0000   *Blanket material fraction (lower xenon)
blmatf(25)  = 0.0000   *Blanket material fraction (radial lithium)
blmatf(26)  = 0.0000   *Blanket material fraction (upper lithium)
blmatf(27)  = 0.0000   *Blanket material fraction (lower lithium)

chdzl       = 3.1      *Vertical thickness of IFE chamber below centre (m)
chdzu       = 3.7      *Vertical thickness of IFE chamber above centre (m)
chmatf(0)   = 1.0      *IFE chamber material fractions (void)
chrad       = 3.5      *Radius of IFE chamber (m)
fauxbop     = 0.0      *Fraction of gross electric power to balance-of-plant
fbreed      = 0.526    *Fraction of breeder external to device core
fwdr        = 0.055    *Radial thickness of IFE first wall (m)
fwdzl       = 0.0      *Vertical thickness of IFE first wall below chamber (m)
fwdzu       = 0.055    *Vertical thickness of IFE first wall above chamber (m)

fwmatf(1)   = 0.0500   *First wall material fraction (radial void)
fwmatf(2)   = 0.0000   *First wall material fraction (upper void)
fwmatf(3)   = 1.0000   *First wall material fraction (lower void)
fwmatf(4)   = 0.0000   *First wall material fraction (radial steel)
fwmatf(5)   = 0.0000   *First wall material fraction (upper steel)
fwmatf(6)   = 0.0000   *First wall material fraction (lower steel)
fwmatf(7)   = 0.0864   *First wall material fraction (radial carbon)
fwmatf(8)   = 0.0909   *First wall material fraction (upper carbon)
fwmatf(9)   = 0.0000   *First wall material fraction (lower carbon)
fwmatf(10)  = 0.8636   *First wall material fraction (radial FLiBe)
fwmatf(11)  = 0.9091   *First wall material fraction (upper FLiBe)
fwmatf(12)  = 0.0000   *First wall material fraction (lower FLiBe)
fwmatf(13)  = 0.0000   *First wall material fraction (radial Li20)
fwmatf(14)  = 0.0000   *First wall material fraction (upper Li20)
fwmatf(15)  = 0.0000   *First wall material fraction (lower Li20)
fwmatf(16)  = 0.0000   *First wall material fraction (radial concrete)
fwmatf(17)  = 0.0000   *First wall material fraction (upper concrete)
fwmatf(18)  = 0.0000   *First wall material fraction (lower concrete)
fwmatf(19)  = 0.0000   *First wall material fraction (radial helium)
fwmatf(20)  = 0.0000   *First wall material fraction (upper helium)
fwmatf(21)  = 0.0000   *First wall material fraction (lower helium)
fwmatf(22)  = 0.0000   *First wall material fraction (radial xenon)
fwmatf(23)  = 0.0000   *First wall material fraction (upper xenon)
fwmatf(24)  = 0.0000   *First wall material fraction (lower xenon)
fwmatf(25)  = 0.0000   *First wall material fraction (radial lithium)
fwmatf(26)  = 0.0000   *First wall material fraction (upper lithium)
fwmatf(27)  = 0.0000   *First wall material fraction (lower lithium)

pdrive      = 23.1D6   *IFE driver power reaching target (W)
shdr        = 0.2      *Radial thickness of IFE shield (m)
shdzl       = 0.35     *Vertical thickness of IFE shield below chamber (m)
shdzu       = 0.2      *Vertical thickness of IFE shield above chamber (m)

shmatf(1)   = 0.0000   *Shield material fraction (radial void)
shmatf(2)   = 0.3000   *Shield material fraction (upper void)
shmatf(3)   = 0.3000   *Shield material fraction (lower void)
shmatf(4)   = 1.0000   *Shield material fraction (radial steel)
shmatf(5)   = 0.7000   *Shield material fraction (upper steel)
shmatf(6)   = 0.7000   *Shield material fraction (lower steel)
shmatf(7)   = 0.0000   *Shield material fraction (radial carbon)
shmatf(8)   = 0.0000   *Shield material fraction (upper carbon)
shmatf(9)   = 0.0000   *Shield material fraction (lower carbon)
shmatf(10)  = 0.0000   *Shield material fraction (radial FLiBe)
shmatf(11)  = 0.0000   *Shield material fraction (upper FLiBe)
