# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g4618fd4e1" 
Date_of_run______________________________________________________________ (date)_________________________ "09/09/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "16:14" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "EU-DEMO LAR 2023 baseline" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/low_aspect_ratio_DEMO.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________          -14 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           19 
j_cs_flat_top_end_(upper_bound)__________________________________________ (boundu010)____________________ 1.00000000000000015e+08 
j_cs_flat_top_end_(lower_bound)__________________________________________ (boundl010)____________________ 1.00000000000000015e+05 
f_j_cs_start_pulse_end_flat_top__________________________________________ (itvar011)_____________________ 8.61352283858656920e-01 
f_j_cs_start_pulse_end_flat_top_(final_value/initial_value)______________ (xcm011)_______________________ 1.01174401618989518e+00 
f_j_cs_start_pulse_end_flat_top_(range_normalised)_______________________ (nitvar011)____________________ 8.61213497356012936e-01 
f_j_cs_start_pulse_end_flat_top_(upper_bound)____________________________ (boundu011)____________________ 1.00000000000000000e+00 
f_j_cs_start_pulse_end_flat_top_(lower_bound)____________________________ (boundl011)____________________ 1.00000000000000002e-03 
f_c_plasma_non_inductive_________________________________________________ (itvar012)_____________________ 4.81781138564150058e-01 
f_c_plasma_non_inductive_(final_value/initial_value)_____________________ (xcm012)_______________________ 9.77882634148587004e-01 
f_c_plasma_non_inductive_(range_normalised)______________________________ (nitvar012)____________________ 4.81262400965115134e-01 
f_c_plasma_non_inductive_(upper_bound)___________________________________ (boundu012)____________________ 1.00000000000000000e+00 
f_c_plasma_non_inductive_(lower_bound)___________________________________ (boundl012)____________________ 1.00000000000000002e-03 
t_tf_superconductor_quench_______________________________________________ (itvar013)_____________________ 2.29980030048365691e+01 
t_tf_superconductor_quench_(final_value/initial_value)___________________ (xcm013)_______________________ 9.91640036635183963e-01 
t_tf_superconductor_quench_(range_normalised)____________________________ (nitvar013)____________________ 2.29209239287653299e-01 
t_tf_superconductor_quench_(upper_bound)_________________________________ (boundu013)____________________ 1.00000000000000014e+02 
t_tf_superconductor_quench_(lower_bound)_________________________________ (boundl013)____________________ 1.00000000000000019e-01 
dr_tf_nose_case__________________________________________________________ (itvar014)_____________________ 2.56644381404886435e-01 
dr_tf_nose_case_(final_value/initial_value)______________________________ (xcm014)_______________________ 9.90670220641464594e-01 
dr_tf_nose_case_(range_normalised)_______________________________________ (nitvar014)____________________ 2.17520401478827813e-01 
dr_tf_nose_case_(upper_bound)____________________________________________ (boundu014)____________________ 1.00000000000000000e+00 
dr_tf_nose_case_(lower_bound)____________________________________________ (boundl014)____________________ 5.00000000000000028e-02 
dx_tf_turn_steel_________________________________________________________ (itvar015)_____________________ 8.00000000048679306e-03 
dx_tf_turn_steel_(final_value/initial_value)_____________________________ (xcm015)_______________________ 1.00000000006084910e+00 
dx_tf_turn_steel_(range_normalised)______________________________________ (nitvar015)____________________ 5.29122639423091990e-12 
dx_tf_turn_steel_(upper_bound)___________________________________________ (boundu015)____________________ 1.00000000000000006e-01 
dx_tf_turn_steel_(lower_bound)___________________________________________ (boundl015)____________________ 8.00000000000000017e-03 
f_a_tf_turn_cable_copper_________________________________________________ (itvar016)_____________________ 9.15065451776742811e-01 
f_a_tf_turn_cable_copper_(final_value/initial_value)_____________________ (xcm016)_______________________ 1.01133733307281148e+00 
f_a_tf_turn_cable_copper_(range_normalised)______________________________ (nitvar016)____________________ 9.43330572219870378e-01 
f_a_tf_turn_cable_copper_(upper_bound)___________________________________ (boundu016)____________________ 9.39999999999999836e-01 
f_a_tf_turn_cable_copper_(lower_bound)___________________________________ (boundl016)____________________ 5.00000000000000000e-01 
f_nd_alpha_thermal_electron______________________________________________ (itvar017)_____________________ 6.13776438493051565e-02 
f_nd_alpha_thermal_electron_(final_value/initial_value)__________________ (xcm017)_______________________ 9.98082697583767331e-01 
f_nd_alpha_thermal_electron_(range_normalised)___________________________ (nitvar017)____________________ 1.13776438493051538e-01 
f_nd_alpha_thermal_electron_(upper_bound)________________________________ (boundu017)____________________ 1.49999999999999994e-01 
f_nd_alpha_thermal_electron_(lower_bound)________________________________ (boundl017)____________________ 5.00000000000000028e-02 
f_a_cs_turn_steel________________________________________________________ (itvar018)_____________________ 7.62154627671161822e-01 
f_a_cs_turn_steel_(final_value/initial_value)____________________________ (xcm018)_______________________ 1.00313291176647423e+00 
f_a_cs_turn_steel_(range_normalised)_____________________________________ (nitvar018)____________________ 8.02059670886366538e-01 
f_a_cs_turn_steel_(upper_bound)__________________________________________ (boundu018)____________________ 9.49999999999999956e-01 
f_a_cs_turn_steel_(lower_bound)__________________________________________ (boundl018)____________________ 1.00000000000000002e-03 
f_nd_impurity_electrons(13)______________________________________________ (itvar019)_____________________ 3.97850102025082170e-04 
f_nd_impurity_electrons(13)_(final_value/initial_value)__________________ (xcm019)_______________________ 2.65233401350054798e+00 
f_nd_impurity_electrons(13)_(range_normalised)___________________________ (nitvar019)____________________ 3.97840499865582051e-02 
f_nd_impurity_electrons(13)_(upper_bound)________________________________ (boundu019)____________________ 1.00000000000000002e-02 
f_nd_impurity_electrons(13)_(lower_bound)________________________________ (boundl019)____________________ 1.00000000000000002e-08 
⟨β⟩_consistency____________________normalised_residue____________________ (eq_con001)____________________ -1.02140518265514402e-14 
⟨β⟩_consistency____________________residual______________________________ (res_eq_con001)________________ -3.81639164714897561e-16 
⟨β⟩_consistency____________________constraint_value______________________ (val_eq_con001)________________ 3.71884854014002467e-02 
⟨β⟩_consistency____________________units_________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ -3.00870439673417422e-14 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -3.96904731303493463e-15 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 1.32094976874674086e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m³' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ 4.44089209850062616e-16 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ 3.55271367880050093e-15 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 8.59999999997705267e+00 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______normalised_residue________ (eq_con030)____________________ -7.99360577730112709e-15 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______residual__________________ (res_eq_con030)________________ 4.05009359383257106e-13 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______constraint_value__________ (val_eq_con030)________________ 5.00000000000004050e+01 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______units_____________________ (eq_units_con030)______________         'MW' 
Electron_density_upper_limit_(nₑ<)__normalised_residue___________________ (ineq_con005)__________________ 1.04763975272703647e-11 
Electron_density_upper_limit_(nₑ<)__physical_value_______________________ (ineq_value_con005)____________ 7.61698393786669793e+19 
Electron_density_upper_limit_(nₑ<)__symbol_______________________________ (ineq_symbol_con005)___________         '<=' 
Electron_density_upper_limit_(nₑ<)__units________________________________ (ineq_units_con005)____________        '/m³' 
Electron_density_upper_limit_(nₑ<)__physical_bound_______________________ (ineq_bound_con005)____________ 7.61698393794649620e+19 
Neutron_wall_load_upper_limit_____normalised_residue_____________________ (ineq_con008)__________________ 8.97827290344380358e-01 
Neutron_wall_load_upper_limit_____physical_value_________________________ (ineq_value_con008)____________ 8.17381677244956917e-01 
Neutron_wall_load_upper_limit_____symbol_________________________________ (ineq_symbol_con008)___________         '<=' 
Neutron_wall_load_upper_limit_____units__________________________________ (ineq_units_con008)____________      'MW/m²' 
Neutron_wall_load_upper_limit_____physical_bound_________________________ (ineq_bound_con008)____________ 8.00000000000000000e+00 
Burn_time_lower_limit_____________normalised_residue_____________________ (ineq_con013)__________________ 6.24968065250753435e-01 
Burn_time_lower_limit_____________physical_value_________________________ (ineq_value_con013)____________ 8.12484032625376676e+03 
Burn_time_lower_limit_____________symbol_________________________________ (ineq_symbol_con013)___________         '>=' 
Burn_time_lower_limit_____________units__________________________________ (ineq_units_con013)____________        'sec' 
Burn_time_lower_limit_____________physical_bound_________________________ (ineq_bound_con013)____________ 5.00000000000000000e+03 
Pₛₑₚ_>_Pₗₕ_consistency_____normalised_residue____________________________ (ineq_con015)__________________ 3.02024736926365112e-02 
Pₛₑₚ_>_Pₗₕ_consistency_____physical_value________________________________ (ineq_value_con015)____________ 1.08525489780338319e+02 
Pₛₑₚ_>_Pₗₕ_consistency_____symbol________________________________________ (ineq_symbol_con015)___________         '>=' 
Pₛₑₚ_>_Pₗₕ_consistency_____units_________________________________________ (ineq_units_con015)____________         'MW' 
Pₛₑₚ_>_Pₗₕ_consistency_____physical_bound________________________________ (ineq_bound_con015)____________ 1.05343845070903186e+02 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 4.14375200818994927e-11 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 3.50000000014503144e+02 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 3.50000000000000000e+02 
⟨β⟩_upper_limit__________________normalised_residue______________________ (ineq_con024)__________________ 5.18228522744820896e-01 
⟨β⟩_upper_limit__________________physical_value__________________________ (ineq_value_con024)____________ 3.25078774720747588e-02 
⟨β⟩_upper_limit__________________symbol__________________________________ (ineq_symbol_con024)___________         '<=' 
⟨β⟩_upper_limit__________________units___________________________________ (ineq_units_con024)____________           '' 
⟨β⟩_upper_limit__________________physical_bound__________________________ (ineq_bound_con024)____________ 6.74757203504107866e-02 
CS_coil_EOF_current_density_limit_normalised_residue_____________________ (ineq_con026)__________________ 1.10903971159258430e-01 
CS_coil_EOF_current_density_limit_physical_value_________________________ (ineq_value_con026)____________ 6.22367220188519088e-01 
CS_coil_EOF_current_density_limit_symbol_________________________________ (ineq_symbol_con026)___________         '<=' 
CS_coil_EOF_current_density_limit_units__________________________________ (ineq_units_con026)____________       'A/m²' 
