# PROCESS #
# Power Reactor Optimisation Code #
# PROCESS #
# Power Reactor Optimisation Code #
PROCESS_version__________________________________________________________ (procver)______________________ "0.0.1.dev1+g6361e8862" 
Date_of_run______________________________________________________________ (date)_________________________ "02/09/2026 UTC" 
Time_of_run______________________________________________________________ (time)_________________________      "08:15" 
User_____________________________________________________________________ (username)_____________________     "runner" 
PROCESS_run_title________________________________________________________ (runtitle)_____________________ "ST Regression" 
PROCESS_git_tag__________________________________________________________ (tagno)________________________           "" 
PROCESS_git_branch_______________________________________________________ (branch_name)__________________           "" 
Input_filename___________________________________________________________ (fileprefix)___________________ "/home/runner/work/PROCESS/PROCESS/tests/regression/input_files/st_regression.IN.DAT" 
Optimisation_switch______________________________________________________ (i_process_run_mode)___________            1 
Figure_of_merit_switch___________________________________________________ (i_figure_merit)_______________           -5 
# Numerics #
# PROCESS found a feasible solution #
Error_flag_______________________________________________________________ (ifail)________________________            1 
Number_of_iteration_variables____________________________________________ (n_iteration_variables)________           14 
Number_of_constraints_(total)____________________________________________ (n_equality_constraints+n_inequality_constraints)_           18 
f_nd_alpha_thermal_electron_(lower_bound)________________________________ (boundl010)____________________ 1.00000000000000002e-03 
f_nd_impurity_electrons(13)______________________________________________ (itvar011)_____________________ 7.96471065162559361e-04 
f_nd_impurity_electrons(13)_(final_value/initial_value)__________________ (xcm011)_______________________ 1.59294213032511878e+00 
f_nd_impurity_electrons(13)_(range_normalised)___________________________ (nitvar011)____________________ 7.96461861624421091e-02 
f_nd_impurity_electrons(13)_(upper_bound)________________________________ (boundu011)____________________ 1.00000000000000002e-02 
f_nd_impurity_electrons(13)_(lower_bound)________________________________ (boundl011)____________________ 1.00000000000000002e-08 
dr_tf_wp_with_insulation_________________________________________________ (itvar012)_____________________ 6.29354927854822499e-01 
dr_tf_wp_with_insulation_(final_value/initial_value)_____________________ (xcm012)_______________________ 1.04892487975803750e+00 
dr_tf_wp_with_insulation_(range_normalised)______________________________ (nitvar012)____________________ 5.73387319637056025e-01 
dr_tf_wp_with_insulation_(upper_bound)___________________________________ (boundu012)____________________ 8.00000000000000044e-01 
dr_tf_wp_with_insulation_(lower_bound)___________________________________ (boundl012)____________________ 4.00000000000000022e-01 
f_nd_plasma_pedestal_greenwald___________________________________________ (itvar013)_____________________ 1.00000000004446601e-01 
f_nd_plasma_pedestal_greenwald_(final_value/initial_value)_______________ (xcm013)_______________________ 1.00000000004446599e+00 
f_nd_plasma_pedestal_greenwald_(range_normalised)________________________ (nitvar013)____________________ 4.94066516094133265e-12 
f_nd_plasma_pedestal_greenwald_(upper_bound)_____________________________ (boundu013)____________________ 1.00000000000000000e+00 
f_nd_plasma_pedestal_greenwald_(lower_bound)_____________________________ (boundl013)____________________ 1.00000000000000006e-01 
f_nd_plasma_separatrix_greenwald_________________________________________ (itvar014)_____________________ 1.00000006500135046e-03 
f_nd_plasma_separatrix_greenwald_(final_value/initial_value)_____________ (xcm014)_______________________ 1.00000006500135033e-02 
f_nd_plasma_separatrix_greenwald_(range_normalised)______________________ (nitvar014)____________________ 6.56579296052879204e-10 
f_nd_plasma_separatrix_greenwald_(upper_bound)___________________________ (boundu014)____________________ 1.00000000000000006e-01 
f_nd_plasma_separatrix_greenwald_(lower_bound)___________________________ (boundl014)____________________ 1.00000000000000002e-03 
⟨β⟩_consistency____________________normalised_residue____________________ (eq_con001)____________________ 2.22044604925031308e-16 
⟨β⟩_consistency____________________residual______________________________ (res_eq_con001)________________ 1.38777878078144568e-17 
⟨β⟩_consistency____________________constraint_value______________________ (val_eq_con001)________________ 1.12828620935272558e-01 
⟨β⟩_consistency____________________units_________________________________ (eq_units_con001)______________           '' 
Global_power_balance_consistency__normalised_residue_____________________ (eq_con002)____________________ -3.33066907387546962e-16 
Global_power_balance_consistency__residual_______________________________ (res_eq_con002)________________ -1.11022302462515654e-16 
Global_power_balance_consistency__constraint_value_______________________ (val_eq_con002)________________ 3.80893589541878852e-01 
Global_power_balance_consistency__units__________________________________ (eq_units_con002)______________      'MW/m³' 
Radial_build_consistency__________normalised_residue_____________________ (eq_con011)____________________ -1.17461596005341562e-13 
Radial_build_consistency__________residual_______________________________ (res_eq_con011)________________ -5.28466159721574513e-13 
Radial_build_consistency__________constraint_value_______________________ (val_eq_con011)________________ 4.49999999999947153e+00 
Radial_build_consistency__________units__________________________________ (eq_units_con011)______________          'm' 
Fusion_power_upper_limit__________normalised_residue_____________________ (ineq_con009)__________________ 2.06566410469715578e-01 
Fusion_power_upper_limit__________physical_value_________________________ (ineq_value_con009)____________ 1.98358397382571093e+03 
Fusion_power_upper_limit__________symbol_________________________________ (ineq_symbol_con009)___________         '<=' 
Fusion_power_upper_limit__________units__________________________________ (ineq_units_con009)____________         'MW' 
Fusion_power_upper_limit__________physical_bound_________________________ (ineq_bound_con009)____________ 2.50000000000000000e+03 
Net_electric_power_lower_limit____normalised_residue_____________________ (ineq_con016)__________________ 5.76388592732974825e-02 
Net_electric_power_lower_limit____physical_value_________________________ (ineq_value_con016)____________ 1.05763885927329738e+02 
Net_electric_power_lower_limit____symbol_________________________________ (ineq_symbol_con016)___________         '>=' 
Net_electric_power_lower_limit____units__________________________________ (ineq_units_con016)____________         'MW' 
Net_electric_power_lower_limit____physical_bound_________________________ (ineq_bound_con016)____________ 1.00000000000000000e+02 
Electron_density_upper_limit_(nₑ<)__normalised_residue___________________ (ineq_con005)__________________ 7.37369054704117843e-11 
Electron_density_upper_limit_(nₑ<)__physical_value_______________________ (ineq_value_con005)____________ 1.16813956649586491e+20 
Electron_density_upper_limit_(nₑ<)__symbol_______________________________ (ineq_symbol_con005)___________         '<=' 
Electron_density_upper_limit_(nₑ<)__units________________________________ (ineq_units_con005)____________        '/m³' 
Electron_density_upper_limit_(nₑ<)__physical_bound_______________________ (ineq_bound_con005)____________ 1.16813956658199986e+20 
⟨β⟩_upper_limit__________________normalised_residue______________________ (ineq_con024)__________________ 1.90493791037110838e-01 
⟨β⟩_upper_limit__________________physical_value__________________________ (ineq_value_con024)____________ 1.23780875326179346e-01 
⟨β⟩_upper_limit__________________symbol__________________________________ (ineq_symbol_con024)___________         '<=' 
⟨β⟩_upper_limit__________________units___________________________________ (ineq_units_con024)____________           '' 
⟨β⟩_upper_limit__________________physical_bound__________________________ (ineq_bound_con024)____________ 1.52909111697565658e-01 
Pₛₑₚ_>_Pₗₕ_consistency_____normalised_residue____________________________ (ineq_con015)__________________ 2.03903482117033441e+00 
Pₛₑₚ_>_Pₗₕ_consistency_____physical_value________________________________ (ineq_value_con015)____________ 1.79999999999375348e+02 
Pₛₑₚ_>_Pₗₕ_consistency_____symbol________________________________________ (ineq_symbol_con015)___________         '>=' 
Pₛₑₚ_>_Pₗₕ_consistency_____units_________________________________________ (ineq_units_con015)____________         'MW' 
Pₛₑₚ_>_Pₗₕ_consistency_____physical_bound________________________________ (ineq_bound_con015)____________ 5.92293312157763410e+01 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________normalised_residue_ (ineq_con062)__________________ 3.55140361563144324e-11 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_value_ (ineq_value_con062)____________ 5.00000000017756996e+00 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________symbol_____ (ineq_symbol_con062)___________         '>=' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________units______ (ineq_units_con062)____________           '' 
Alpha_to_energy_confinement_ratio_(τ_α/τₑ)_lower_limit________physical_bound_ (ineq_bound_con062)____________ 5.00000000000000000e+00 
nₑ₀_>_nₑ_pedestal_constraint______normalised_residue_____________________ (ineq_con081)__________________ 1.38445421275281735e+01 
nₑ₀_>_nₑ_pedestal_constraint______physical_value_________________________ (ineq_value_con081)____________ 1.73404970077300621e+20 
nₑ₀_>_nₑ_pedestal_constraint______symbol_________________________________ (ineq_symbol_con081)___________         '>=' 
nₑ₀_>_nₑ_pedestal_constraint______units__________________________________ (ineq_units_con081)____________        '/m³' 
nₑ₀_>_nₑ_pedestal_constraint______physical_bound_________________________ (ineq_bound_con081)____________ 1.16813956663394243e+19 
Radiation_fraction_(fᵧ)_upper_limit____normalised_residue________________ (ineq_con017)__________________ 5.03019847997165925e-12 
Radiation_fraction_(fᵧ)_upper_limit____physical_value____________________ (ineq_value_con017)____________ 6.39999999996780700e-01 
Radiation_fraction_(fᵧ)_upper_limit____symbol____________________________ (ineq_symbol_con017)___________         '<=' 
Radiation_fraction_(fᵧ)_upper_limit____units_____________________________ (ineq_units_con017)____________           '' 
Radiation_fraction_(fᵧ)_upper_limit____physical_bound____________________ (ineq_bound_con017)____________ 6.40000000000000013e-01 
Pₛₑₚ_/_R₀_upper_limit______________normalised_residue____________________ (ineq_con056)__________________ 3.47033513037331431e-12 
Pₛₑₚ_/_R₀_upper_limit______________physical_value________________________ (ineq_value_con056)____________ 3.99999999998611884e+01 
Pₛₑₚ_/_R₀_upper_limit______________symbol________________________________ (ineq_symbol_con056)___________         '<=' 
Pₛₑₚ_/_R₀_upper_limit______________units_________________________________ (ineq_units_con056)____________       'MW/m' 
Pₛₑₚ_/_R₀_upper_limit______________physical_bound________________________ (ineq_bound_con056)____________ 4.00000000000000000e+01 
TF_coil_superconductor_critical_current_density_upper_limit___normalised_residue_ (ineq_con033)__________________ 3.77010003457284304e-02 
TF_coil_superconductor_critical_current_density_upper_limit___physical_value_ (ineq_value_con033)____________ 4.13177115776157901e+07 
TF_coil_superconductor_critical_current_density_upper_limit___symbol_____ (ineq_symbol_con033)___________         '<=' 
TF_coil_superconductor_critical_current_density_upper_limit___units______ (ineq_units_con033)____________       'A/m²' 
TF_coil_superconductor_critical_current_density_upper_limit___physical_bound_ (ineq_bound_con033)____________ 4.29364590345206037e+07 
TF_coil_case_stress_upper_limit___normalised_residue_____________________ (ineq_con031)__________________ 6.79488808824034729e-01 
TF_coil_case_stress_upper_limit___physical_value_________________________ (ineq_value_con031)____________ 2.72434512499570549e+08 
TF_coil_case_stress_upper_limit___symbol_________________________________ (ineq_symbol_con031)___________         '<=' 
TF_coil_case_stress_upper_limit___units__________________________________ (ineq_units_con031)____________         'Pa' 
TF_coil_case_stress_upper_limit___physical_bound_________________________ (ineq_bound_con031)____________ 8.50000000000000000e+08 
TF_coil_conduit_stress_upper_limit__normalised_residue___________________ (ineq_con032)__________________ 7.07439354929637831e-01 
TF_coil_conduit_stress_upper_limit__physical_value_______________________ (ineq_value_con032)____________ 2.04792451549253494e+08 
TF_coil_conduit_stress_upper_limit__symbol_______________________________ (ineq_symbol_con032)___________         '<=' 
TF_coil_conduit_stress_upper_limit__units________________________________ (ineq_units_con032)____________         'Pa' 
TF_coil_conduit_stress_upper_limit__physical_bound_______________________ (ineq_bound_con032)____________ 7.00000000000000000e+08 
FW_radiation_wall_load_upper_limit_normalised_residue____________________ (ineq_con067)__________________ 6.97303965897248967e-01 
FW_radiation_wall_load_upper_limit_physical_value________________________ (ineq_value_con067)____________ 3.63235240923301228e-01 
FW_radiation_wall_load_upper_limit_symbol________________________________ (ineq_symbol_con067)___________         '<=' 
FW_radiation_wall_load_upper_limit_units_________________________________ (ineq_units_con067)____________      'MW/m²' 
FW_radiation_wall_load_upper_limit_physical_bound________________________ (ineq_bound_con067)____________ 1.19999999999999996e+00 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______normalised_residue________ (ineq_con030)__________________ 4.68459100878320212e-01 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______physical_value____________ (ineq_value_con030)____________ 1.19596702302377949e+02 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______symbol____________________ (ineq_symbol_con030)___________         '<=' 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______units_____________________ (ineq_units_con030)____________         'MW' 
Plasma_injected_power_(Pₐᵤₓ)_upper_limit_______physical_bound____________ (ineq_bound_con030)____________ 2.25000000000000000e+02 
Iₚ/I_rod_upper_limit_______________normalised_residue____________________ (ineq_con046)__________________ 5.02912415831072046e-01 
Iₚ/I_rod_upper_limit_______________physical_value________________________ (ineq_value_con046)____________ 3.39798026147119847e-01 
Iₚ/I_rod_upper_limit_______________symbol________________________________ (ineq_symbol_con046)___________         '<=' 
Iₚ/I_rod_upper_limit_______________units_________________________________ (ineq_units_con046)____________           '' 
Iₚ/I_rod_upper_limit_______________physical_bound________________________ (ineq_bound_con046)____________ 6.83577777777777840e-01 
Runtime_of_PROCESS_in_seconds____________________________________________ (process_runtime)______________ 2.33915381431579590e+01 
# Final Feasible Point #
# Power Reactor Costs (1990 US$) #
First_wall_/_blanket_life_(years)________________________________________ (life_blkt)____________________ 2.78218555581471882e+00 
Divertor_life_(years)____________________________________________________ (life_div)_____________________ 7.61507225056458181e-01 
Centrepost_life_(years)__________________________________________________ (cplife_cal)___________________ 4.94343333214095071e-02 
Cost_of_electricity_(m$/kWh)_____________________________________________ (coe)__________________________ 1.28515236289354357e+03 
# Detailed Costings (1990 US$) #
Acc.22_multiplier_for_Nth_of_a_kind______________________________________ (fkind)________________________ 1.00000000000000000e+00 
Level_of_Safety_Assurance________________________________________________ (lsa)__________________________            2 
# Structures and Site Facilities #
Site_improvements,_facilities,_land_(M$)_________________________________ (c211)_________________________ 3.26400000000000006e+01 
Reactor_building_cost_(M$)_______________________________________________ (c212)_________________________ 2.82859098963234032e+02 
Turbine_building_cost_(M$)_______________________________________________ (c213)_________________________ 3.19199999999999982e+01 
Reactor_maintenance_building_cost_(M$)___________________________________ (c2141)________________________ 7.22042303080509100e+01 
Warm_shop_cost_(M$)______________________________________________________ (c2142)________________________ 4.61696640587813221e+01 
Tritium_building_cost_(M$)_______________________________________________ (c215)_________________________ 1.24319999999999986e+01 
Electrical_equipment_building_cost_(M$)__________________________________ (c216)_________________________ 1.44065331632474969e+01 
Additional_buildings_cost_(M$)___________________________________________ (c2171)________________________ 1.51199999999999992e+01 
Control_room_buildings_cost_(M$)_________________________________________ (c2172)________________________ 1.76400000000000006e+01 
Shop_and_warehouses_cost_(M$)____________________________________________ (c2173)________________________ 9.65999999999999837e+00 
Cryogenic_building_cost_(M$)_____________________________________________ (c2174)________________________ 4.07195187279544939e+01 
Total_account_21_cost_(M$)_______________________________________________ (c21)__________________________ 5.75771045221268309e+02 
# Reactor Systems #
First_wall_cost_(M$)_____________________________________________________ (c2211)________________________ 8.73199105529114945e+01 
Blanket_beryllium_cost_(M$)______________________________________________ (c22121)_______________________ 1.08340386496426220e+02 
